group_id,first_cross,final_margin_baseline,final_score_baseline,final_margin_nudged,final_score_nudged,delta_final_margin,averted
12f6463fca308d8cd0c2f53407eb7400,1.0,1.5940539669237679,5,-0.5715498040797935,2,-2.1656037710035614,True
a84effacbe011202a72ed4bf4ae37b7a,1.0,2.3034542877901982,5,0.2106133040035551,3,-2.092840983786643,True
2bed5b2da02161916fb0583bf72ab7c7,2.0,1.3772092000907588,5,-0.2977366169282179,3,-1.6749458170189766,True
88ba4c6c786d31f047037b40c50d270a,0.0,0.4955260627463879,5,-1.082485401436951,2,-1.578011464183339,True
8d475cb801dd992a1414b840710f202a,1.0,1.123277780144138,5,-0.34137918780381044,3,-1.4646569679479484,True
ec09ce18a3fe360ef55076e92ab82964,1.0,0.5605685729676285,5,-0.7082385286975154,2,-1.2688071016651439,True
de14a24aa89502307916eb7548736b81,0.0,1.5547013504155252,5,0.3603882979388006,3,-1.1943130524767245,True
35b45ac9267461c7af0c5ebc19c701a5,2.0,0.7751823410936423,5,-0.35008228166683003,3,-1.1252646227604723,True
be112f186c8c4e389bd7c2b1a6b4a7e0,1.0,1.1077506348720763,5,0.07903188118960242,3,-1.0287187536824738,True
75c3a8a29c07864812af53ba03b18c1a,0.0,1.1267920017536956,5,0.1453271190861879,3,-0.9814648826675078,True
